age,housingtype,yearly_income,cpf_balance,yearly_expenditure,savings,quality_of_life,disaster_preparedness,retirement_readiness
30,3-Room Flat,47000,173900.0,60000,47000.0,1,1,2
31,Executive Flat,60000,244200.0,96000,66000.0,1,2,1
61,5-Room,105000,1498350.0,72000,430500.0,10,8,8
23,5-Room,34000,37740.0,11000,10200.0,1,2,2
23,1&2-Room Flat,31000,34410.0,10000,9300.0,1,1,4
25,4-Room Flat,51000,94350.0,13000,25500.0,2,5,4
28,3-Room Flat,49000,145040.0,11000,39200.0,2,1,3
35,1&2-Room Flat,63000,349650.0,72000,94500.0,2,1,4
24,3-Room Flat,40000,59200.0,5000,16000.0,1,1,1
59,1&2-Room Flat,72000,995760.0,108000,280800.0,8,8,10
33,Executive Flat,61000,293410.0,108000,79300.0,1,3,1
56,Apartment,140000,1843800.0,72000,504000.0,10,9,10
64,1&2-Room Flat,119000,1776670.0,96000,523600.0,10,8,10
42,Landed Property,94000,765160.0,72000,206800.0,7,7,4
63,Condominium,127000,1868170.0,108000,546100.0,10,10,10
60,Condominium,53000,744650.0,72000,212000.0,6,4,7
50,Executive Flat,110000,1221000.0,96000,330000.0,10,7,10
60,Landed Property,99000,1390950.0,60000,396000.0,10,9,10
58,5-Room,84000,1143240.0,60000,319200.0,10,8,9
36,Landed Property,44000,260480.0,108000,70400.0,1,1,3
51,Landed Property,59000,676730.0,72000,182900.0,5,2,4
34,Apartment,74000,383320.0,96000,103600.0,2,4,1
48,Apartment,64000,663040.0,72000,179200.0,5,5,6
48,Condominium,142000,1471120.0,72000,397600.0,10,10,10
64,Apartment,115000,1716950.0,96000,506000.0,10,8,10
32,5-Room,70000,310800.0,84000,84000.0,2,2,2
53,1&2-Room Flat,94000,1147740.0,96000,310200.0,10,10,8
33,3-Room Flat,42000,202020.0,60000,54600.0,1,1,3
55,Executive Flat,114000,1476300.0,84000,399000.0,10,7,10
25,1&2-Room Flat,59000,109150.0,15000,29500.0,2,1,3
61,Executive Flat,135000,1926450.0,72000,553500.0,10,10,10
34,4-Room Flat,71000,367780.0,96000,99400.0,2,4,1
54,1&2-Room Flat,94000,1182520.0,108000,319600.0,10,10,7
23,5-Room,52000,57720.0,12000,15600.0,1,3,2
64,Landed Property,53000,791290.0,84000,233200.0,6,5,5
57,Condominium,68000,910520.0,60000,251600.0,8,10,9
62,1&2-Room Flat,58000,840420.0,60000,243600.0,8,10,8
43,3-Room Flat,90000,765900.0,108000,207000.0,6,8,7
26,Executive Flat,66000,146520.0,14000,39600.0,3,3,5
31,1&2-Room Flat,59000,240130.0,60000,64900.0,2,2,1
21,5-Room,38000,14060.0,20000,3800.0,1,3,1
53,Condominium,58000,708180.0,60000,191400.0,6,9,3
22,5-Room,46000,34040.0,13000,9200.0,1,1,1
23,1&2-Room Flat,30000,33300.0,18000,9000.0,1,3,1
56,4-Room Flat,118000,1554060.0,60000,424800.0,10,10,7
55,5-Room,66000,854700.0,60000,231000.0,7,5,9
26,5-Room,48000,106560.0,15000,28800.0,2,5,1
55,Landed Property,98000,1269100.0,72000,343000.0,10,9,10
34,Apartment,60000,310800.0,84000,84000.0,2,1,1
27,4-Room Flat,44000,113960.0,8000,30800.0,2,1,5
37,3-Room Flat,45000,283050.0,72000,76500.0,1,1,1
56,Apartment,146000,1922820.0,96000,525600.0,10,10,10
55,Executive Flat,87000,1126650.0,96000,304500.0,9,10,10
20,1&2-Room Flat,56000,0.0,5000,0.0,1,1,4
41,5-Room,63000,489510.0,60000,132300.0,4,5,1
58,Apartment,54000,734940.0,84000,205200.0,5,3,7
43,Condominium,70000,595700.0,108000,161000.0,4,4,1
49,3-Room Flat,120000,1287600.0,96000,348000.0,10,7,10
45,Apartment,124000,1147000.0,96000,310000.0,10,10,10
24,1&2-Room Flat,42000,62160.0,14000,16800.0,1,4,1
60,1&2-Room Flat,142000,1995100.0,60000,568000.0,10,8,7
20,1&2-Room Flat,31000,0.0,9000,0.0,1,1,4
60,1&2-Room Flat,137000,1924850.0,108000,548000.0,10,7,10
51,1&2-Room Flat,66000,757020.0,108000,204600.0,5,3,4
31,Executive Flat,47000,191290.0,72000,51700.0,1,4,1
26,1&2-Room Flat,41000,91020.0,13000,24600.0,1,3,4
37,1&2-Room Flat,55000,345950.0,60000,93500.0,2,5,1
39,4-Room Flat,71000,499130.0,84000,134900.0,4,5,4
20,5-Room,53000,0.0,20000,0.0,1,3,1
63,5-Room,79000,1162090.0,60000,339700.0,10,10,10
27,3-Room Flat,51000,132090.0,7000,35700.0,2,5,4
50,Landed Property,145000,1609500.0,72000,435000.0,10,8,10
32,1&2-Room Flat,65000,288600.0,84000,78000.0,1,1,1
34,3-Room Flat,54000,279720.0,72000,75600.0,1,1,1
62,Executive Flat,102000,1477980.0,108000,428400.0,10,7,10
65,Executive Flat,141000,2136150.0,60000,634500.0,10,10,7
45,3-Room Flat,127000,1174750.0,84000,317500.0,10,9,10
27,Executive Flat,62000,160580.0,12000,43400.0,3,1,2
57,4-Room Flat,143000,1914770.0,60000,529100.0,10,9,9
22,5-Room,43000,31820.0,8000,8600.0,1,4,1
63,Condominium,143000,2103530.0,96000,614900.0,10,9,10
22,Executive Flat,43000,31820.0,13000,8600.0,1,4,4
62,3-Room Flat,113000,1637370.0,60000,474600.0,10,10,10
26,5-Room,51000,113220.0,14000,30600.0,2,2,5
43,Landed Property,121000,1029710.0,108000,278300.0,9,9,9
60,Landed Property,139000,1952950.0,84000,556000.0,10,10,10
55,Landed Property,97000,1256150.0,108000,339500.0,10,10,7
34,4-Room Flat,66000,341880.0,72000,92400.0,2,3,5
45,3-Room Flat,82000,758500.0,60000,205000.0,7,10,8
50,5-Room,120000,1332000.0,84000,360000.0,10,10,10
54,3-Room Flat,92000,1157360.0,108000,312800.0,9,7,8
58,Executive Flat,122000,1660420.0,84000,463600.0,10,7,10
27,Executive Flat,62000,160580.0,10000,43400.0,3,5,1
58,Condominium,111000,1510710.0,72000,421800.0,10,10,7
60,Executive Flat,61000,857050.0,72000,244000.0,7,8,5
40,Condominium,72000,532800.0,96000,144000.0,4,2,6
26,1&2-Room Flat,41000,91020.0,9000,24600.0,1,2,4
37,1&2-Room Flat,57000,358530.0,96000,96900.0,1,4,2
49,Landed Property,88000,944240.0,96000,255200.0,8,7,10
23,4-Room Flat,33000,36630.0,8000,9900.0,1,4,1
31,4-Room Flat,41000,166870.0,108000,45100.0,1,4,1
42,1&2-Room Flat,131000,1066340.0,84000,288200.0,10,10,10
53,5-Room,130000,1587300.0,84000,429000.0,10,7,10
40,Condominium,41000,303400.0,96000,82000.0,1,2,1
63,4-Room Flat,145000,2132950.0,72000,623500.0,10,10,10
35,4-Room Flat,40000,222000.0,72000,60000.0,1,1,1
47,Condominium,110000,1098900.0,72000,297000.0,10,9,10
58,4-Room Flat,85000,1156850.0,60000,323000.0,10,10,7
43,5-Room,74000,629740.0,72000,170200.0,5,8,6
53,4-Room Flat,111000,1355310.0,84000,366300.0,10,10,7
42,Landed Property,65000,529100.0,96000,143000.0,3,1,6
30,Condominium,51000,188700.0,60000,51000.0,1,1,3
29,1&2-Room Flat,60000,199800.0,14000,54000.0,3,3,3
56,1&2-Room Flat,143000,1883310.0,108000,514800.0,10,10,10
58,Apartment,81000,1102410.0,60000,307800.0,10,9,7
56,1&2-Room Flat,89000,1172130.0,96000,320400.0,10,10,10
27,3-Room Flat,79000,204610.0,9000,55300.0,4,7,3
53,5-Room,95000,1159950.0,96000,313500.0,10,10,10
27,5-Room,68000,176120.0,14000,47600.0,3,1,5
57,3-Room Flat,126000,1687140.0,96000,466200.0,10,8,10
29,1&2-Room Flat,79000,263070.0,10000,71100.0,4,2,2
29,Executive Flat,59000,196470.0,15000,53100.0,3,5,1
46,1&2-Room Flat,82000,788840.0,60000,213200.0,7,4,9
65,3-Room Flat,147000,2227050.0,108000,661500.0,10,7,7
30,1&2-Room Flat,64000,236800.0,84000,64000.0,1,1,1
65,Executive Flat,135000,2045250.0,108000,607500.0,10,10,10
54,5-Room,105000,1320900.0,60000,357000.0,10,10,10
48,1&2-Room Flat,52000,538720.0,72000,145600.0,4,3,7
58,Condominium,125000,1701250.0,60000,475000.0,10,10,8
51,1&2-Room Flat,87000,997890.0,60000,269700.0,9,6,8
60,Condominium,110000,1545500.0,84000,440000.0,10,10,9
26,4-Room Flat,64000,142080.0,12000,38400.0,3,2,6
54,Landed Property,82000,1031560.0,96000,278800.0,8,9,9
51,3-Room Flat,147000,1686090.0,72000,455700.0,10,8,10
36,4-Room Flat,48000,284160.0,84000,76800.0,1,1,3
31,Executive Flat,66000,268620.0,96000,72600.0,1,3,4
62,5-Room,128000,1854720.0,108000,537600.0,10,10,10
22,Executive Flat,43000,31820.0,5000,8600.0,1,2,4
21,4-Room Flat,38000,14060.0,16000,3800.0,1,1,4
44,Condominium,134000,1189920.0,72000,321600.0,10,10,10
46,4-Room Flat,51000,490620.0,108000,132600.0,2,2,1
30,5-Room,66000,244200.0,72000,66000.0,1,1,3
31,5-Room,50000,203500.0,72000,55000.0,1,1,1
48,Condominium,148000,1533280.0,60000,414400.0,10,8,10
41,4-Room Flat,132000,1025640.0,108000,277200.0,10,7,10
49,Executive Flat,138000,1480740.0,60000,400200.0,10,10,10
50,Landed Property,62000,688200.0,72000,186000.0,5,2,8
23,5-Room,39000,43290.0,9000,11700.0,1,1,1
28,3-Room Flat,58000,171680.0,8000,46400.0,3,6,2
33,3-Room Flat,67000,322270.0,72000,87100.0,2,4,1
20,4-Room Flat,51000,0.0,8000,0.0,1,1,4
41,5-Room,95000,738150.0,60000,199500.0,7,8,5
41,Condominium,77000,598290.0,84000,161700.0,5,4,2
48,4-Room Flat,119000,1232840.0,108000,333200.0,10,9,10
27,4-Room Flat,52000,134680.0,15000,36400.0,2,3,1
35,Apartment,56000,310800.0,72000,84000.0,2,1,1
58,Landed Property,98000,1333780.0,60000,372400.0,10,10,10
25,4-Room Flat,60000,111000.0,19000,30000.0,2,2,1
47,Landed Property,57000,569430.0,108000,153900.0,3,1,1
24,5-Room,33000,48840.0,20000,13200.0,1,1,4
54,Condominium,98000,1232840.0,72000,333200.0,10,10,10
45,Landed Property,71000,656750.0,84000,177500.0,5,4,5
61,Condominium,79000,1127330.0,96000,323900.0,10,10,7
61,Executive Flat,87000,1241490.0,72000,356700.0,10,10,10
22,1&2-Room Flat,42000,31080.0,9000,8400.0,1,1,3
42,Condominium,54000,439560.0,72000,118800.0,3,2,5
38,Landed Property,48000,319680.0,84000,86400.0,1,1,2
29,3-Room Flat,73000,243090.0,17000,65700.0,4,3,4
52,Condominium,75000,888000.0,96000,240000.0,7,10,5
40,5-Room,69000,510600.0,60000,138000.0,4,4,3
25,5-Room,55000,101750.0,13000,27500.0,2,5,5
25,5-Room,46000,85100.0,6000,23000.0,2,1,5
62,1&2-Room Flat,148000,2144520.0,60000,621600.0,10,10,10
35,4-Room Flat,49000,271950.0,60000,73500.0,2,1,1
20,3-Room Flat,49000,0.0,13000,0.0,1,4,1
24,3-Room Flat,52000,76960.0,16000,20800.0,1,1,2
22,1&2-Room Flat,39000,28860.0,6000,7800.0,1,1,2
64,Condominium,100000,1493000.0,60000,440000.0,10,10,9
32,5-Room,41000,182040.0,96000,49200.0,1,1,1
57,3-Room Flat,73000,977470.0,108000,270100.0,7,9,7
59,3-Room Flat,141000,1950030.0,84000,549900.0,10,9,10
52,1&2-Room Flat,83000,982720.0,84000,265600.0,8,8,9
52,Apartment,138000,1633920.0,96000,441600.0,10,10,7
51,1&2-Room Flat,66000,757020.0,72000,204600.0,6,4,9
61,Apartment,146000,2083420.0,96000,598600.0,10,10,10
56,Apartment,117000,1540890.0,84000,421200.0,10,10,7
60,Landed Property,127000,1784350.0,108000,508000.0,10,10,10
27,5-Room,77000,199430.0,15000,53900.0,3,3,6
26,3-Room Flat,62000,137640.0,6000,37200.0,3,3,4
31,Executive Flat,42000,170940.0,72000,46200.0,1,1,4
31,Executive Flat,45000,183150.0,96000,49500.0,1,1,2
24,3-Room Flat,34000,50320.0,13000,13600.0,1,1,1
53,3-Room Flat,149000,1819290.0,96000,491700.0,10,9,10
55,4-Room Flat,117000,1515150.0,72000,409500.0,10,8,8
30,Landed Property,43000,159100.0,84000,43000.0,1,1,1
57,3-Room Flat,54000,723060.0,84000,199800.0,5,7,6
45,1&2-Room Flat,111000,1026750.0,96000,277500.0,9,10,8
33,4-Room Flat,78000,375180.0,72000,101400.0,3,1,3
64,4-Room Flat,61000,910730.0,96000,268400.0,7,8,7
32,5-Room,58000,257520.0,108000,69600.0,1,4,4
37,5-Room,73000,459170.0,72000,124100.0,4,3,6
48,Apartment,78000,808080.0,108000,218400.0,6,6,7
33,3-Room Flat,53000,254930.0,108000,68900.0,1,4,1
28,4-Room Flat,53000,156880.0,6000,42400.0,2,1,4
63,5-Room,67000,985570.0,108000,288100.0,8,10,6
20,1&2-Room Flat,47000,0.0,18000,0.0,1,1,1
21,Executive Flat,45000,16650.0,11000,4500.0,1,1,1
52,Landed Property,59000,698560.0,60000,188800.0,6,8,3
25,4-Room Flat,30000,55500.0,6000,15000.0,1,3,1
40,Condominium,63000,466200.0,108000,126000.0,2,1,4
31,Apartment,77000,313390.0,72000,84700.0,2,1,1
50,1&2-Room Flat,107000,1187700.0,96000,321000.0,10,10,10
28,4-Room Flat,54000,159840.0,8000,43200.0,2,2,4
40,Apartment,52000,384800.0,72000,104000.0,2,2,1
21,5-Room,55000,20350.0,7000,5500.0,1,1,1
49,3-Room Flat,123000,1319790.0,96000,356700.0,10,8,10
49,Apartment,133000,1427090.0,72000,385700.0,10,10,7
23,1&2-Room Flat,60000,66600.0,13000,18000.0,2,5,5
28,3-Room Flat,73000,216080.0,15000,58400.0,3,1,1
28,1&2-Room Flat,60000,177600.0,12000,48000.0,3,6,2
52,Apartment,59000,698560.0,108000,188800.0,4,7,7
38,1&2-Room Flat,45000,299700.0,96000,81000.0,1,3,1
37,Apartment,79000,496910.0,84000,134300.0,4,4,2
43,1&2-Room Flat,119000,1012690.0,60000,273700.0,10,10,7
34,1&2-Room Flat,53000,274540.0,84000,74200.0,1,1,4
29,5-Room,64000,213120.0,18000,57600.0,3,5,6
58,Landed Property,104000,1415440.0,72000,395200.0,10,8,7
32,5-Room,73000,324120.0,72000,87600.0,2,1,1
57,Apartment,56000,749840.0,84000,207200.0,5,4,6
23,Executive Flat,43000,47730.0,20000,12900.0,1,1,2
39,Executive Flat,67000,471010.0,96000,127300.0,3,5,3
48,Executive Flat,109000,1129240.0,84000,305200.0,10,10,10
40,Landed Property,47000,347800.0,84000,94000.0,1,1,3
35,4-Room Flat,58000,321900.0,108000,87000.0,1,3,3
42,4-Room Flat,73000,594220.0,108000,160600.0,4,2,5
40,5-Room,51000,377400.0,84000,102000.0,2,1,1
47,Condominium,121000,1208790.0,96000,326700.0,10,9,7
36,Executive Flat,77000,455840.0,72000,123200.0,4,6,7
45,3-Room Flat,97000,897250.0,96000,242500.0,8,10,10
41,Condominium,116000,901320.0,60000,243600.0,9,8,6
53,Condominium,56000,683760.0,108000,184800.0,4,6,4
42,Apartment,119000,968660.0,60000,261800.0,10,8,10
56,Condominium,133000,1751610.0,60000,478800.0,10,10,8
43,3-Room Flat,127000,1080770.0,84000,292100.0,10,10,10
63,Executive Flat,72000,1059120.0,60000,309600.0,10,10,10
64,1&2-Room Flat,78000,1164540.0,72000,343200.0,10,10,9
20,3-Room Flat,60000,0.0,15000,0.0,1,1,2
40,Executive Flat,60000,444000.0,60000,120000.0,4,6,2
49,1&2-Room Flat,90000,965700.0,96000,261000.0,8,10,5
42,Executive Flat,139000,1131460.0,96000,305800.0,10,10,8
25,4-Room Flat,38000,70300.0,13000,19000.0,1,1,1
27,3-Room Flat,74000,191660.0,14000,51800.0,3,5,2
22,4-Room Flat,47000,34780.0,19000,9400.0,1,1,1
35,Apartment,63000,349650.0,60000,94500.0,3,5,1
49,Landed Property,90000,965700.0,60000,261000.0,9,7,9
28,4-Room Flat,52000,153920.0,10000,41600.0,2,1,2
52,Apartment,82000,970880.0,84000,262400.0,8,7,7
65,Landed Property,96000,1454400.0,108000,432000.0,10,10,10
39,4-Room Flat,67000,471010.0,60000,127300.0,4,3,5
61,4-Room Flat,50000,713500.0,108000,205000.0,4,7,7
32,Condominium,78000,346320.0,72000,93600.0,3,6,6
59,1&2-Room Flat,142000,1963860.0,96000,553800.0,10,10,9
64,5-Room,84000,1254120.0,84000,369600.0,10,10,7
27,1&2-Room Flat,77000,199430.0,9000,53900.0,4,7,5
56,1&2-Room Flat,122000,1606740.0,96000,439200.0,10,10,10
37,Apartment,73000,459170.0,96000,124100.0,3,6,4
54,Apartment,92000,1157360.0,108000,312800.0,9,10,10
43,3-Room Flat,71000,604210.0,108000,163300.0,4,3,2
28,3-Room Flat,61000,180560.0,8000,48800.0,3,1,6
44,Executive Flat,64000,568320.0,96000,153600.0,4,4,5
20,Executive Flat,54000,0.0,6000,0.0,1,1,4
34,Apartment,61000,315980.0,72000,85400.0,2,5,3
23,1&2-Room Flat,34000,37740.0,11000,10200.0,1,1,2
38,1&2-Room Flat,66000,439560.0,60000,118800.0,4,5,7
46,Condominium,139000,1337180.0,108000,361400.0,10,8,7
21,3-Room Flat,57000,21090.0,7000,5700.0,1,4,1
42,Apartment,101000,822140.0,60000,222200.0,8,5,10
30,Apartment,73000,270100.0,108000,73000.0,1,1,2
55,Landed Property,57000,738150.0,60000,199500.0,6,7,6
49,Condominium,142000,1523660.0,84000,411800.0,10,10,10
46,3-Room Flat,119000,1144780.0,84000,309400.0,10,10,10
21,Executive Flat,38000,14060.0,9000,3800.0,1,3,2
63,Executive Flat,55000,809050.0,108000,236500.0,6,8,5
26,1&2-Room Flat,55000,122100.0,16000,33000.0,2,1,5
30,Executive Flat,76000,281200.0,72000,76000.0,2,3,1
26,1&2-Room Flat,72000,159840.0,10000,43200.0,3,1,1
48,5-Room,120000,1243200.0,60000,336000.0,10,10,10
34,Executive Flat,50000,259000.0,84000,70000.0,1,1,1
51,3-Room Flat,138000,1582860.0,72000,427800.0,10,10,10
51,3-Room Flat,127000,1456690.0,60000,393700.0,10,10,7
50,1&2-Room Flat,94000,1043400.0,96000,282000.0,9,7,9
44,4-Room Flat,119000,1056720.0,96000,285600.0,10,10,10
28,4-Room Flat,59000,174640.0,12000,47200.0,3,5,3
27,Executive Flat,56000,145040.0,19000,39200.0,2,2,3
62,Landed Property,59000,854910.0,60000,247800.0,8,5,8
42,Landed Property,115000,936100.0,72000,253000.0,9,10,10
41,4-Room Flat,63000,489510.0,96000,132300.0,3,1,2
27,Executive Flat,80000,207200.0,19000,56000.0,3,6,1
26,4-Room Flat,40000,88800.0,20000,24000.0,1,1,4
24,Executive Flat,53000,78440.0,14000,21200.0,2,3,1
20,3-Room Flat,37000,0.0,15000,0.0,1,3,1
51,3-Room Flat,119000,1364930.0,60000,368900.0,10,10,10
29,3-Room Flat,47000,156510.0,14000,42300.0,2,5,1
55,Apartment,104000,1346800.0,84000,364000.0,10,7,8
55,Executive Flat,112000,1450400.0,60000,392000.0,10,10,10
25,4-Room Flat,60000,111000.0,16000,30000.0,2,1,3
47,4-Room Flat,74000,739260.0,96000,199800.0,5,8,2
35,Condominium,74000,410700.0,60000,111000.0,4,4,1
54,Apartment,81000,1018980.0,108000,275400.0,8,8,10
45,Executive Flat,139000,1285750.0,60000,347500.0,10,9,10
33,1&2-Room Flat,53000,254930.0,84000,68900.0,1,1,2
41,Condominium,70000,543900.0,60000,147000.0,5,8,2
64,Condominium,132000,1970760.0,72000,580800.0,10,10,10
54,5-Room,149000,1874420.0,72000,506600.0,10,7,10
57,Landed Property,77000,1031030.0,72000,284900.0,9,10,10
51,5-Room,142000,1628740.0,60000,440200.0,10,9,10
55,1&2-Room Flat,80000,1036000.0,60000,280000.0,10,10,7
39,Landed Property,61000,428830.0,96000,115900.0,2,1,3
51,4-Room Flat,57000,653790.0,60000,176700.0,5,3,3
30,Condominium,58000,214600.0,72000,58000.0,1,1,1
31,Apartment,47000,191290.0,60000,51700.0,1,1,4
61,3-Room Flat,120000,1712400.0,108000,492000.0,10,10,10
55,Executive Flat,90000,1165500.0,60000,315000.0,10,10,7
38,1&2-Room Flat,54000,359640.0,96000,97200.0,1,1,1
26,3-Room Flat,70000,155400.0,6000,42000.0,3,3,3
40,Landed Property,42000,310800.0,108000,84000.0,1,4,1
33,Executive Flat,54000,259740.0,60000,70200.0,2,4,4
55,Condominium,91000,1178450.0,60000,318500.0,10,9,10
43,Executive Flat,139000,1182890.0,108000,319700.0,10,10,7
55,4-Room Flat,90000,1165500.0,72000,315000.0,10,7,10
26,5-Room,79000,175380.0,12000,47400.0,3,6,1
63,Landed Property,63000,926730.0,108000,270900.0,7,5,6
48,Executive Flat,73000,756280.0,84000,204400.0,6,5,7
64,1&2-Room Flat,100000,1493000.0,72000,440000.0,10,8,7
53,Executive Flat,64000,781440.0,96000,211200.0,5,3,6
59,5-Room,99000,1369170.0,72000,386100.0,10,9,10
46,Apartment,119000,1144780.0,84000,309400.0,10,7,10
47,5-Room,136000,1358640.0,72000,367200.0,10,8,9
31,1&2-Room Flat,61000,248270.0,72000,67100.0,1,2,1
33,Condominium,69000,331890.0,60000,89700.0,3,6,5
57,Executive Flat,137000,1834430.0,108000,506900.0,10,10,10
52,Apartment,98000,1160320.0,72000,313600.0,10,10,10
43,5-Room,122000,1038220.0,60000,280600.0,10,9,7
27,4-Room Flat,51000,132090.0,18000,35700.0,2,2,1
62,4-Room Flat,73000,1057770.0,84000,306600.0,9,10,6
49,Apartment,51000,547230.0,96000,147900.0,3,5,1
61,3-Room Flat,136000,1940720.0,60000,557600.0,10,10,10
44,5-Room,83000,737040.0,72000,199200.0,7,8,9
42,Executive Flat,128000,1041920.0,72000,281600.0,10,10,10
62,4-Room Flat,95000,1376550.0,108000,399000.0,10,8,10
48,4-Room Flat,79000,818440.0,108000,221200.0,6,6,4
51,1&2-Room Flat,52000,596440.0,72000,161200.0,4,4,2
52,Condominium,84000,994560.0,84000,268800.0,8,5,7
37,1&2-Room Flat,67000,421430.0,72000,113900.0,3,4,6
32,Executive Flat,55000,244200.0,72000,66000.0,1,1,2
23,5-Room,34000,37740.0,9000,10200.0,1,1,2
23,1&2-Room Flat,57000,63270.0,7000,17100.0,2,3,3
38,5-Room,54000,359640.0,72000,97200.0,2,2,1
37,Landed Property,62000,389980.0,108000,105400.0,1,1,2
62,Executive Flat,142000,2057580.0,60000,596400.0,10,10,7
32,Executive Flat,50000,222000.0,84000,60000.0,1,2,1
36,Condominium,57000,337440.0,60000,91200.0,2,1,1
23,3-Room Flat,43000,47730.0,10000,12900.0,1,3,4
26,1&2-Room Flat,46000,102120.0,14000,27600.0,1,1,4
